사용월,호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원
202503,1호선,동대문,11164,1862,9327,6671,17135,11777,22194,20696,21800,22652,19393,24877,20419,29536,24430,29321,27393,27712,30689,26549,30933,26049,30637,25146,29002,24908,26885,25140,20635,24186,18028,17082,15728,16150,12205,15212,6150,10066,1041,3207
202503,1호선,동묘앞,2717,856,3775,5156,9123,10795,14142,23544,12662,19171,14029,25980,19060,35898,27454,38749,36771,43791,42688,37101,40697,30978,39278,23321,36047,17357,25075,13822,12066,10078,6560,7403,5624,7318,4129,6811,1470,4940,151,2079
202503,1호선,서울역,10025,9052,26032,57132,86883,123684,143737,247797,113291,171834,102970,101836,114624,98072,129046,107448,123079,105198,109968,102172,142017,116119,155142,123026,224250,147161,258374,167759,146297,118386,105690,85808,109022,79852,72193,55517,36881,28364,3694,8024
202503,1호선,시청,1997,5455,3779,25804,7720,74701,11314,200167,14188,92108,16166,50716,20929,54949,24735,60274,35057,67318,52476,53296,68946,37916,84969,29936,113670,29450,168241,26375,68103,14680,59765,9747,51204,8940,30091,6282,9895,3996,498,1158
202503,1호선,신설동,9035,2193,9588,8404,22160,25628,33587,54696,22536,32454,21182,23150,22406,20924,25077,20627,26126,21833,25785,20702,27305,22474,31501,24534,44132,27075,54125,32791,22242,24493,15387,18013,13853,17181,9665,14519,4096,9287,461,2796
202503,1호선,제기동,5360,2298,8886,9937,22627,20426,32495,37507,23071,31687,24903,37992,32407,49281,39143,51671,43216,52442,49145,49655,52943,40817,51666,36774,46644,30673,40635,28118,22361,19617,14744,13211,9430,12457,5798,10395,2560,6369,209,1521
202503,1호선,종각,4180,6021,4437,34064,7104,115139,10725,266675,14121,147969,19623,63030,29170,65201,34951,61950,45859,65784,63608,54757,78728,50818,97364,49607,168100,53785,228342,53144,115665,27776,110485,15161,98819,10583,63949,7445,26425,4664,1796,1353
202503,1호선,종로3가,3687,2495,4045,11669,5769,26192,9993,65805,15492,63964,22747,57540,32716,73006,47103,73880,51616,67297,64679,58930,73883,51477,82835,48495,96394,45169,100356,43308,70315,23029,60452,13722,55627,10508,39395,7968,17254,5468,1550,2286
202503,1호선,종로5가,2044,3461,3009,15760,5834,40194,10932,88880,15505,64218,25357,60707,36367,66123,46154,60889,54339,56873,64966,54139,68714,47320,74216,42108,91005,38193,93417,34652,55812,21303,39794,12934,34065,9059,20880,6475,6010,4064,428,1125
202503,1호선,청량리(서울시립대입구),10222,2822,17709,10263,49787,17258,59152,41097,38064,38597,34394,40269,41227,49710,47659,51151,51684,53620,55384,55284,59761,53056,60867,52457,56627,54952,49741,62968,29638,41019,22531,26939,17575,25152,11399,21022,4676,12359,369,3757
202503,2호선,강남,7882,11349,17927,55897,41382,155213,64746,308162,55523,327740,57818,158325,74376,108848,91829,106297,108103,121702,120529,111615,143846,104015,170192,116382,250700,149830,316202,185172,219351,111357,171180,63658,192508,52223,165881,41316,75445,23891,12113,6564
202503,2호선,강변(동서울터미널),8920,1615,22114,19830,66385,21428,103554,39459,75578,33405,61859,32188,52397,32796,49863,36734,47516,40585,43698,44643,46385,53178,49403,58501,54159,70347,55802,93686,38210,66379,30016,46549,23865,38521,14799,32851,5673,18156,740,4373
202503,2호선,건대입구,14917,1875,21625,14423,54693,23980,92964,63879,66844,50157,44473,49237,42791,52872,50095,57139,54170,63321,57600,64598,62967,71948,71758,85084,83960,114412,93806,161166,72720,110961,75616,71629,81308,65673,82899,56989,50025,33443,7608,11526
202503,2호선,교대(법원.검찰청),2818,6492,10801,27223,25878,56803,37749,158123,30704,132551,28291,72116,33988,62819,37109,57543,45619,61080,53266,53226,57669,50140,61092,52282,96398,68713,132940,72772,64427,42831,56434,27892,54101,25447,40704,23671,16412,12720,2975,3610
