연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1,평일,1,158,청량리,상선,7.05,6.4,14.5,13.5,15.95,17.45,15.95,19.75,18.25,20.7,29.4,30.75,56.1,52.75,27.25,27.15,23.75,21.95,11.7,0
2,평일,1,157,제기동,상선,8.15,7.6,17.15,17.4,19.85,22,17.95,23.15,21.85,25.4,31.15,36,63.45,59.4,31.35,30.4,26.6,24.8,14.2,0
3,평일,1,156,신설동,상선,8.95,8.4,19.05,20.25,23.95,26.2,21.65,28.75,26.45,28.35,33.65,37.15,64.3,58.85,32.45,31.55,27.6,25.65,14.35,0
4,평일,1,159,동묘앞,상선,9.05,9.8,22.35,21.15,23.15,27.7,22.7,29.3,26.6,29.6,32.7,36.2,62.5,59.55,31.55,35.95,29.45,25.6,13.9,0
5,평일,1,155,동대문,상선,9.3,11.15,26,25.9,26.4,30.9,26.4,34.4,29.55,33.25,35.55,40.4,69.85,63.15,35.15,37,33.65,28.7,15.8,3.5
6,평일,1,154,종로5가,상선,8.15,11.55,27.95,25.5,27.7,30,27.15,34.05,29.45,32.45,33.4,39.8,70.3,64.2,33.35,39.05,33.7,27.2,14.8,4
7,평일,1,153,종로3가,상선,8.95,15.05,36.15,32.45,34.7,35.2,29.7,38.2,32.3,32.15,34.65,40,70.15,57.8,32,38.15,29.45,28.35,13.3,1.4
8,평일,1,152,종각,상선,8.9,15,33.35,32.5,33.8,34.75,27.75,34.4,29.95,28.9,30.65,35.05,64.45,53.15,30.8,33.1,26.15,24.5,12.35,1.4
9,평일,1,151,시청,상선,10.45,23.85,55.85,54.8,40.45,39.55,30,37.5,29.25,25.6,26.8,29.55,53.15,42.95,24.9,22.75,19.45,18.1,11.25,1.7
10,평일,1,150,서울역,상선,13.95,28.85,70,79.55,47,41.8,31.75,39.45,29.9,24.8,25.25,26.5,42.65,34.45,21.4,18.15,15.65,14.55,10.65,1.4
11,평일,1,158,청량리,하선,19.3,35.6,66,55.6,33.25,22.3,25.7,24.85,22.5,26.25,23.8,28.85,26.9,15.35,12,11.15,10.05,8.05,4.65,0.1
12,평일,1,157,제기동,하선,19.95,36.25,65.9,57.6,33.7,25.2,26.05,27.2,26.35,30.45,26.75,34.4,31.6,17.9,13.55,11.9,10.55,8.4,4.6,0.2
13,평일,1,156,신설동,하선,20.95,38.1,70.5,58.9,35.65,27.35,26.5,29.8,27.3,30.4,30.05,37.8,36.55,19.95,14.6,13.4,11.6,8.25,4.45,0.3
